4.9,-0,0
4.9,-0,0
4.9,-0,0
4.9,-0,0
-303.73,-130.43,174.97
4.9,-0,0
4.9,-0,0
4.9,0,-0
4.9,0,-0
4.9,-0,0
4.9,0,-0
4.9,-0,0
4.9,0,-0
4.9,0,-0
4.9,-0,0
4.9,-0,0
4.9,0,-0
4.9,0,-0
4.9,-0,0
4.9,0,-0
4.9,-0,0
4.9,-0,0
4.9,-0,0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.89,-0,0
4.9,0,-0
4.9,-0,0
4.9,-0,0
4.9,0,-0
4.9,-0,-0
4.9,0,-0
4.9,0,-0
4.9,-0,0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,-0,0
4.9,-0,0
4.9,0,-0
4.9,0,-0
4.9,-0,0
4.9,0,-0
4.9,-0,0
4.9,-0,0
4.9,-0,0
4.9,-0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,-0,0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,-0,0
4.9,0,-0
4.9,0,-0
4.9,-0,0
4.9,-0,0
4.9,-0,0
4.9,-0,0
4.9,0,-0
4.9,-0,0
4.9,0,-0
4.9,0,-0
4.9,-0,0
4.9,-0,0
4.9,0,-0
4.9,-0,0
4.9,-0,0
4.9,0,-0
4.9,0,-0
4.89,-0,0
4.9,-0,0
4.9,-0,0
4.9,-0,0
4.9,-0,0
4.9,0,-0
4.9,-0,0
4.9,-0,0
4.9,-0,0
4.9,-0,0
4.9,-0,0
4.9,-0,0
4.9,0,-0
4.9,0,-0
4.9,-0,0
4.9,-0,0
4.9,0,-0
4.9,0,-0
4.9,-0,0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,-0,0
4.89,-0,0
4.9,-0,0
4.9,0,-0
4.9,-0,0
4.9,-0,0
4.9,0,-0
4.9,-0,0
4.9,0,-0
4.9,-0,0
4.9,0,-0
4.9,0,-0
4.9,-0,0
4.9,-0,0
4.9,-0,0
4.9,0,-0
4.9,-0,0
4.9,-0,0
4.9,-0,0
4.9,0,-0
4.9,0,0
4.9,0,0
4.9,0,-0
4.9,-0,0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,-0,0
4.9,0,-0
4.9,-0,0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,-0,0
4.9,0,-0
4.9,0,-0
4.9,-0,0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,-0,0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,-0,0
4.9,0,-0
4.9,-0,0
-303.73,216.75,25.47
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
-303.73,-86.31,-200.44
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,-0,0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
4.9,0,-0
